Ticker,GNN_Centrality_Score,Sector,Optimal_Weight_Decimal,Allocation_Percentage
CLX,0.17737636,Consumer Staples,0.0,0.0%
KR,0.16948433,Consumer Staples,0.0,0.0%
BIIB,0.14475107,Health Care,0.0,0.0%
SW,0.14279231,Materials,0.01733819310064734,1.73%
CPB,0.14201735,Consumer Staples,7.382395831387595e-20,0.0%
NEM,0.14098303,Materials,0.0,0.0%
TTWO,0.129135,Communication Services,0.0,0.0%
GEN,0.12802647,Information Technology,0.012511539694168662,1.25%
REGN,0.12721916,Health Care,1.633453160545696e-20,0.0%
NFLX,0.12472551,Communication Services,0.0,0.0%
DPZ,0.122720845,Consumer Discretionary,0.0,0.0%
EA,0.12037993,Communication Services,0.0,0.0%
DXCM,0.11902191,Health Care,0.0,0.0%
PODD,0.11170576,Health Care,1.8459471391469392e-20,0.0%
SJM,0.1110317,Consumer Staples,0.03107247234094005,3.11%
AKAM,0.10854322,Information Technology,0.0,0.0%
CHD,0.10809375,Consumer Staples,0.0,0.0%
GIS,0.10747626,Consumer Staples,4.117160837341099e-20,0.0%
CAG,0.106429674,Consumer Staples,0.006262013423475784,0.63%
INCY,0.10468063,Health Care,5.328623900259078e-20,0.0%
HRL,0.10236242,Consumer Staples,0.0,0.0%
MTCH,0.10194958,Unknown,0.018961300615190385,1.9%
TTD,0.09969425,Communication Services,0.0027247439738859475,0.27%
PCG,0.0994548,Utilities,0.016853628163337377,1.69%
AMD,0.09800754,Information Technology,0.014613010321756804,1.46%
GILD,0.096170254,Health Care,0.040878619552205966,4.09%
WST,0.095146716,Health Care,3.008704788818773e-20,0.0%
NOW,0.09226626,Information Technology,0.0,0.0%
TYL,0.09060736,Information Technology,0.009011712635134138,0.9%
DG,0.090248294,Consumer Staples,0.0,0.0%
LLY,0.08980474,Health Care,0.06970954642869998,6.97%
VRTX,0.08891643,Health Care,0.019359436372203682,1.94%
FTNT,0.08783165,Information Technology,0.013331512563973295,1.33%
FSLR,0.087444685,Information Technology,0.048486757576261814,4.85%
PANW,0.08730801,Information Technology,0.02347651698184793,2.35%
SMCI,0.08681397,Information Technology,0.04320050139730096,4.32%
WMT,0.08555441,Consumer Staples,0.08454335306998141,8.45%
TSLA,0.084147364,Consumer Discretionary,0.02204522215005853,2.2%
TKO,0.08358059,Communication Services,0.04246126553737275,4.25%
TECH,0.08319229,Health Care,0.011742089715562074,1.17%
AMZN,0.08255116,Consumer Discretionary,0.050962924449262835,5.1%
ANET,0.081156634,Information Technology,0.037256425106636896,3.73%
WDAY,0.080960445,Information Technology,0.028476964299055312,2.85%
KMB,0.080532216,Consumer Staples,0.07651616276213677,7.65%
EPAM,0.07979673,Information Technology,0.04126557366983129,4.13%
KDP,0.07977501,Consumer Staples,0.05380657975073686,5.38%
BDX,0.07962913,Health Care,0.03965220424018845,3.97%
TMO,0.078383744,Health Care,0.039431438887362516,3.94%
IDXX,0.07742048,Health Care,0.06135395277037507,6.14%
EBAY,0.0769606,Consumer Discretionary,0.02269433845040914,2.27%
