Ticker,Mean_Abs_SHAP,Optimal_Weight_Decimal,Allocation_Percentage
APH,0.0016409581343486668,0.0,0.0%
MSFT,0.001368399483490752,0.0,0.0%
ACN,0.001345842663706923,0.0,0.0%
GOOG,0.0008331280084947714,8.348356728138384e-18,0.0%
GOOGL,0.0006602227561074121,0.010982336322012093,1.1%
BRK-B,0.0004144691889459666,0.0006285269771446915,0.06%
AMP,0.00037658076709296207,1.5616512879394318e-17,0.0%
TROW,0.0003385511578065982,0.02023406694809878,2.02%
BLK,0.00032273395696672105,0.04158817322877916,4.16%
CTAS,0.00021918249550020427,1.1821805275695052e-17,0.0%
AAPL,0.0001994596917092454,0.0,0.0%
VRSK,0.0001793744213014034,0.04031895143475404,4.03%
HON,0.00017119706156475887,0.05572639592729513,5.57%
TXN,0.00015000512692849886,0.006824031392762573,0.68%
V,0.00010097865511320321,0.026942099899744835,2.69%
TEL,9.734211558534219e-05,0.04031164258998066,4.03%
HD,9.319478673940468e-05,0.040285996245860115,4.03%
ADP,9.290739202328864e-05,0.0,0.0%
AMZN,8.472355218227937e-05,0.06691930440555856,6.69%
PAYX,8.353627141611245e-05,2.497666592319715e-18,0.0%
MA,7.855936157330007e-05,0.0,0.0%
APD,7.563567335105265e-05,0.04708348280463716,4.71%
CSCO,7.130467218620231e-05,0.009339229486624382,0.93%
SNPS,6.436023134288147e-05,0.0,0.0%
JNJ,5.871718030155447e-05,0.14054834140695288,14.05%
CDW,5.824009512046056e-05,0.0,0.0%
EMR,5.5829778844041734e-05,0.0,0.0%
AME,5.255341766017898e-05,0.0,0.0%
GS,5.0054573771507606e-05,0.0,0.0%
ROP,4.9628151161706484e-05,6.755550047212518e-05,0.01%
IBM,4.843738915441779e-05,0.07164015509801627,7.16%
NVDA,4.830427691380076e-05,5.885798381336916e-18,0.0%
J,4.799417485632937e-05,7.3583806203077025e-19,0.0%
HPQ,4.463058150359478e-05,5.691486951005693e-18,0.0%
TRMB,4.17986996797894e-05,0.028810319439247774,2.88%
ADBE,4.1092324613154315e-05,0.04938526402813337,4.94%
L,4.0604444274439374e-05,1.3116744362474878e-18,0.0%
BAC,4.0317367469710125e-05,0.0,0.0%
GLW,3.891289740594638e-05,0.013921598181257539,1.39%
QCOM,3.777625019535723e-05,1.4947795827706234e-18,0.0%
MCO,3.729493386615848e-05,0.0,0.0%
A,3.549874143366265e-05,0.0,0.0%
MS,3.498042735408754e-05,1.4514182129606484e-17,0.0%
CTSH,3.372893819274611e-05,0.05326380977836037,5.33%
INTC,3.326526853597711e-05,0.06176280624754589,6.18%
JPM,3.244586671234664e-05,0.0,0.0%
KKR,3.193337800183864e-05,0.0,0.0%
GRMN,3.173914704223183e-05,0.0,0.0%
C,3.067940215606787e-05,0.09868927606868735,9.87%
KO,2.9478384276200376e-05,0.07472663658807406,7.47%
