ticker,weight,sector
TROW,0.05307660342046189,Financials
APH,0.05070874002213588,Information Technology
MSFT,0.049271698398980775,Information Technology
LLY,0.04361158938658612,Health Care
INTU,0.04295121372824732,Information Technology
AVGO,0.04091882743016097,Information Technology
FOX,0.040855814302298225,Communication Services
CLX,0.03947188498226796,Consumer Staples
COR,0.03913225310731248,Health Care
BRK-B,0.03346433922259868,Financials
MLM,0.032278412795400765,Materials
XOM,0.03206528828237229,Energy
TSLA,0.03133939199881926,Consumer Discretionary
CAT,0.030180241626772006,Industrials
AMZN,0.028856471848793596,Consumer Discretionary
AMP,0.028590998568350623,Financials
TFC,0.027751922546558765,Financials
META,0.02704336720201684,Communication Services
DOV,0.02602082849233653,Industrials
NWS,0.025979303996576938,Communication Services
TEL,0.02442845862493752,Information Technology
COF,0.022394844964552085,Financials
JPM,0.021942415640712993,Financials
ACN,0.01889032400149544,Information Technology
SNPS,0.01877871922197645,Information Technology
DOC,0.016696994305495372,Real Estate
CRM,0.016650362637777003,Information Technology
QCOM,0.0163556594786762,Information Technology
V,0.016068465000724223,Financials
MA,0.014748388474897487,Financials
WFC,0.014285937604173458,Financials
CFG,0.01224070491124695,Financials
ISRG,0.012046672808633372,Health Care
BKNG,0.010765811352020116,Consumer Discretionary
TER,0.010490300188148175,Information Technology
LEN,0.009202084887847822,Consumer Discretionary
CB,0.007229934013039792,Financials
FOXA,0.004056324409716999,Communication Services
DUK,0.0029505111439679745,Utilities
NVDA,0.002949889366241352,Information Technology
NFLX,0.002564980006160768,Communication Services
ADBE,0.0006563204770714779,Information Technology
BLK,1.4639440053697034e-05,Financials
UNH,5.661388422242166e-06,Health Care
GOOGL,4.967923541757935e-06,Communication Services
AAPL,4.222988472474588e-06,Information Technology
GOOG,4.021763175460173e-06,Communication Services
CMCSA,1.7260091521657358e-06,Communication Services
ORCL,1.4656086212293168e-06,Information Technology
DIS,0.0,Communication Services
